Source	Interaction	Target
Gm14327	->	Oaf
Gm14327	->	Pde1c
Gtf2ird1	->	Cacna1s
Gtf2ird1	->	Gtf2ird1
Gtf2ird1	->	Prkcz
Gtf2ird1	->	Gtf2ird1
Gtf2ird1	->	Pacsin2
Gtf2ird1	->	Trim6
Gtf2ird1	->	Arid5b
Gtf2ird1	->	Faim
Gtf2ird1	->	Gtf2ird1
Gtf2ird1	->	Cxcl16
Gtf2ird1	->	Gtf2ird1
Gtf2ird1	->	Klf13
Cux1	->	Cep350
Cux1	->	Cux1
Cux1	->	Enkur
Cux1	->	Pcdhgb5
Cux1	->	Rnf141
Cux1	->	Tbkbp1
Cux1	->	Tnrc18
Cux1	->	Zdhhc1
Cux1	->	Cux1
Cux1	->	Dusp4
Cux1	->	Pard6b
Cux1	->	Cct3
Cux1	->	Cux1
Cux1	->	Gpr137c
Cux1	->	Map2k7
Cux1	->	Pknox1
Cux1	->	Poc1b
Cux1	->	Scn11a
Cux1	->	Stambpl1
Cux1	->	Tbc1d9b
Cux1	->	Tmem108
Cux1	->	Clic5
Cux1	->	Cux1
Cux1	->	Foxo4
Cux1	->	Hs1bp3
Cux1	->	Mapk1ip1l
Brf2	->	Brf2
Brf2	->	Cacna1d
Brf2	->	Chrm3
Brf2	->	Fam72a
Brf2	->	Fam83f
Brf2	->	Farp2
Brf2	->	Rgs18
Brf2	->	Snrpb2
Brf2	->	Timm22
Brf2	->	Brf2
Brf2	->	Dnase1l3
Brf2	->	Fam198a
Brf2	->	Pter
Nr1d1	->	Bmpr1a
Nr1d1	->	Esr1
Nr1d1	->	Hist1h3h
Nr1d1	->	Nr1d1
Nr1d1	->	Csnk2a2
Nr1d1	->	Lman2l
Nr1d1	->	Nr1d1
Nr1d1	->	Slc4a11
Nr1d1	->	Slco4a1
Nr1d1	->	Trim47
Nr1d1	->	Galnt2
Nr1d1	->	Nr1d1
Nr1d1	->	Cxcl13
Nr1d1	->	Il5
Nr1d1	->	Mrvi1
Nr1d1	->	Nr1d1
Nr1d1	->	Ube2m
Nr1d1	->	Zfp524
Zfp524	->	Id3
Zfp524	->	Ehd2
Zfp524	->	Kazald1
Zfp524	->	Prpf40b
Zfp524	->	Zmym6
Zfp143	->	Alg10b
Zfp143	->	Atl2
Zfp143	->	Casp8ap2
Zfp143	->	Cnot7
Zfp143	->	Ddx5
Zfp143	->	Frs2
Zfp143	->	Pld1
Zfp143	->	Pop1
Zfp143	->	Rad51ap1
Zfp143	->	Rfc5
Zfp143	->	Tsta3
Zfp143	->	Zfp143
Zfp143	->	Aifm2
Zfp143	->	Fam193a
Zfp143	->	Inpp5b
Zfp143	->	Jup
Zfp143	->	Napb
Zfp143	->	Pcgf6
Zfp143	->	Ppil2
Zfp143	->	Scoc
Zfp143	->	Slc35e4
Zfp143	->	Syce1
Zfp143	->	Wdr31
Zfp143	->	Zfp143
Zfp362	->	Alg10b
Zfp362	->	Gpr15
Zfp362	->	Myc
Zfp362	->	Nmnat3
Zfp362	->	Pkib
Zfp362	->	Polr3a
Zfp362	->	Ubr1
Zfp362	->	Cbx5
Zfp362	->	Cd4
Zfp362	->	Hmox2
Zfp362	->	Itgb3bp
Zfp362	->	Sbno1
Zfp362	->	Ttll4
Zfp362	->	Wdr82
Zfp362	->	Zfp362
Tcf4	->	Egf
Tcf4	->	Fam46c
Tcf4	->	Fgf20
Tcf4	->	Klhdc8b
Tcf4	->	Klhl8
Tcf4	->	Tas1r1
Tcf4	->	Tcf4
Tcf4	->	Usp46
Tcf4	->	Zmynd11
Tcf4	->	Akirin2
Tcf4	->	Ddhd1
Tcf4	->	Ndrg1
Tcf4	->	Tcf4
Tcf4	->	Tnfaip8
Tcf4	->	Apobr
Tcf4	->	Ar
Tcf4	->	Il6ra
Tcf4	->	Paip1
Zkscan14	->	Cd93
Zkscan14	->	Cep170
Zkscan14	->	Nrp2
Zkscan14	->	Traf4
Zkscan14	->	Zfp46
Pou2f1	->	Cacnb2
Pou2f1	->	Clock
Pou2f1	->	Ikzf2
Pou2f1	->	Krcc1
Pou2f1	->	Pid1
Pou2f1	->	Rasgef1b
Pou2f1	->	Art5
Pou2f1	->	Ash1l
Pou2f1	->	Gp5
Pou2f1	->	Hspa1l
Pou2f1	->	Il5
Pou2f1	->	Klhl21
Pou2f1	->	Klhl7
Pou2f1	->	Lonrf2
Pou2f1	->	Pou2f1
Pou2f1	->	Tcam1
Pou2f1	->	Traf3
Pou2f1	->	Vgll3
Pou2f1	->	Wrnip1
Pou2f1	->	Cyp2r1
Pou2f1	->	Glis3
Pou2f1	->	Kcnn3
Pou2f1	->	Lgr5
Pou2f1	->	Pou2f1
Sp3	->	Bcl10
Sp3	->	Impad1
Sp3	->	Lin52
Sp3	->	Mef2d
Sp3	->	Pdha1
Sp3	->	Ppp1cc
Sp3	->	Sh2b2
Sp3	->	Twsg1
Sp3	->	Agap3
Sp3	->	Atl3
Sp3	->	Galnt7
Sp3	->	Tlcd1
Pbx3	->	Gipc2
Pbx3	->	Igsf9b
Pbx3	->	Il1r2
Pbx3	->	Mtr
Pbx3	->	Nol6
Pbx3	->	Ocrl
Pbx3	->	Rpain
Pbx3	->	Tspyl2
Pbx3	->	Ttll3
Pbx3	->	Ykt6
Pbx3	->	Zfpm2
Pbx3	->	Zmym5
Pbx3	->	Lrtm2
Pbx3	->	Pbx3
Pbx3	->	Usp6nl
Pbx3	->	Cstad
Pbx3	->	Ctns
Pbx3	->	Pacsin2
Pbx3	->	Pbx3
Pbx3	->	Prkaca
Pbx3	->	Pskh1
Pbx3	->	Zfp143
Msra	->	Coro2a
Msra	->	Dlgap5
Msra	->	Eif6
Msra	->	Fam26f
Msra	->	Msra
Msra	->	Myo1d
Msra	->	Ptpn5
Msra	->	Zeb2
Nfe2l1	->	9330111N05Rik
Nfe2l1	->	Gramd4
Nfe2l1	->	Nrd1
Nfe2l1	->	Pcyt1a
Nfe2l1	->	Prox2
Nfe2l1	->	Rc3h1
Nfe2l1	->	Nfe2l1
Nfe2l1	->	Sytl1
Nfe2l1	->	Chrna9
Nfe2l1	->	Iqsec1
Nfe2l1	->	Klhl14
Nfe2l1	->	Nfe2l1
Nfe2l1	->	Oaz2-ps
Nfe2l1	->	Pcmt1
Nfe2l1	->	Tcam1
Nfe2l1	->	Wdr37
Nfe2l1	->	Cbx8
Nfe2l1	->	Ciapin1
Nfe2l1	->	Cnnm4
Nfe2l1	->	Ephb6
Nfe2l1	->	Hes5
Nfe2l1	->	Kdm6b
Nfe2l1	->	Nfe2l1
Nfe2l1	->	Pcgf1
Nfe2l1	->	Rpl10
Nfe2l1	->	Sema7a
Nfe2l1	->	Suox
Pax8	->	Acot9
Pax8	->	Arv1
Pax8	->	Dapl1
Pax8	->	Fam101b
Pax8	->	Gadd45a
Pax8	->	Ggt1
Pax8	->	Nrp1
Pax8	->	Pdk3
Pax8	->	Rbm34
Pax8	->	Stx17
Pax8	->	Tiam1
Pax8	->	Tmcc1
Pax8	->	Trim2
Pax8	->	Ubox5
Kdm5a	->	Fosl2
Kdm5a	->	Gtf2ird1
Kdm5a	->	Maoa
Kdm5a	->	Tspan4
Kdm5a	->	Baz2b
Kdm5a	->	Chd4
Kdm5a	->	Hnrnph1
Kdm5a	->	Prrc2a
Kdm5a	->	Rnf10
Kdm5a	->	Akap13
Kdm5a	->	Aldh18a1
Kdm5a	->	B4galt1
Kdm5a	->	Bambi
Kdm5a	->	Bdp1
Kdm5a	->	Ddx6
Kdm5a	->	Dync1h1
Kdm5a	->	Fam120a
Kdm5a	->	Herc4
Kdm5a	->	Kdm5a
Kdm5a	->	Malt1
Kdm5a	->	Nbea
Kdm5a	->	Ptpn22
Kdm5a	->	Srp19
Kdm5a	->	Srpk1
Kdm5a	->	Tomm70a
Kdm5a	->	Uspl1
Kdm5a	->	Yes1
Kdm5a	->	Atp1b1
Kdm5a	->	Clip1
Kdm5a	->	Exoc7
Kdm5a	->	Fnbp4
Kdm5a	->	Hist1h2be
Kdm5a	->	Hnrnpu
Kdm5a	->	Nup50
Kdm5a	->	Plekhf2
Kdm5a	->	Prrc2a
Kdm5a	->	Rad21
Kdm5a	->	Rasa3
Kdm5a	->	Sbno1
Kdm5a	->	Sf3b3
Kdm5a	->	Tnip1
Kdm5a	->	Txnl4a
Kdm5a	->	Kdm5a
Kdm5a	->	Rad51ap1
Kdm5a	->	Smc4
Zfp973	->	2010204K13Rik
Zfp973	->	Cdh11
Zfp973	->	Fggy
Zfp973	->	Klhl21
Zfp973	->	Lancl3
Zfp973	->	Nt5dc2
Zfp973	->	Ppl
Zfp973	->	Chrnb2
Zfp973	->	Tcf7
Zfp973	->	Tgfb3
Zfp973	->	A330035P11Rik
Zfp973	->	Hhex
Zfp973	->	March8
Zfp612	->	Cdh24
Zfp612	->	Ing2
Zfp612	->	Ptrh1
Zfp612	->	Purg
Zfp612	->	Lrp12
Zfp612	->	Rarg
Zfp612	->	Col1a1
Zfp612	->	Nos3
Glis2	->	Atp10a
Glis2	->	Chd9
Glis2	->	Daam1
Glis2	->	Glis2
Glis2	->	Gpr19
Glis2	->	Nab1
Glis2	->	Pank2
Glis2	->	Slc23a2
Rfx4	->	Ankrd35
Rfx4	->	B4galnt4
Rfx4	->	Golga3
Rfx4	->	Mafb
Rfx4	->	Wdtc1
Rfx4	->	Zfp523
Foxo3	->	Alkbh1
Foxo3	->	Arap3
Foxo3	->	Bcor
Foxo3	->	Foxo3
Foxo3	->	Ints8
Foxo3	->	Kctd6
Foxo3	->	Mapk3
Foxo3	->	Mrps6
Foxo3	->	Paqr8
Foxo3	->	Pip5k1a
Foxo3	->	Ppp2r5a
Foxo3	->	Ppp6c
Foxo3	->	Ptgds
Foxo3	->	Sidt2
Foxo3	->	Smc6
Foxo3	->	Soat1
Foxo3	->	Sorl1
Foxo3	->	St6galnac3
Foxo3	->	Svil
Foxo3	->	Cdh11
Foxo3	->	Dirc2
Foxo3	->	Egr1
Foxo3	->	Fmr1
Foxo3	->	Foxo3
Foxo3	->	Gabarapl1
Foxo3	->	P2rx7
Foxo3	->	Ppp1r16b
Foxo3	->	Acsf2
Foxo3	->	Avil
Foxo3	->	Foxo3
Foxo3	->	Herc1
Foxo3	->	Kcng3
Foxo3	->	Orai1
Foxo3	->	Tmprss3
Foxo3	->	Dlc1
Foxo3	->	Foxo3
Foxo3	->	Hes5
Foxo3	->	Il4
Foxo3	->	Kcnb1
Foxo3	->	Lysmd4
Foxo3	->	Slc15a1
Foxo3	->	Sorbs3
Foxo3	->	Zfp708
Foxo3	->	Auh
Foxo3	->	Foxo3
Foxo3	->	Mxi1
Sox21	->	Ccdc66
Sox21	->	Commd9
Sox21	->	E130311K13Rik
Sox21	->	Klhl15
Sox21	->	Mxd3
Sox21	->	Rab11fip2
Sox21	->	Shq1
Sox21	->	Sox21
Sox21	->	Tacc2
Sox21	->	Tnip3
Smc3	->	Blmh
Smc3	->	Chtf18
Smc3	->	Crtam
Smc3	->	Cuedc2
Smc3	->	Incenp
Smc3	->	Nphs1
Smc3	->	Ralbp1
Smc3	->	Sh2d3c
Smc3	->	Smc3
Smc3	->	Sytl3
Smc3	->	Tmed3
Smc3	->	Unc5cl
Smc3	->	Apc
Smc3	->	Ccng2
Smc3	->	Fam98a
Smc3	->	Gpc1
Smc3	->	Lims1
Smc3	->	Med4
Smc3	->	Nom1
Smc3	->	S100a1
Smc3	->	Sik3
Smc3	->	Smc3
Smc3	->	Tlk1
Smarca5	->	M6pr
Smarca5	->	Med4
Smarca5	->	Mkl1
Smarca5	->	Ndnl2
Smarca5	->	Smarca5
Smarca5	->	Wipf2
Smarca5	->	Zfp27
Smarcc1	->	Kcnk10
Smarcc1	->	Kif3c
Smarcc1	->	Mlec
Smarcc1	->	Sec24a
Smarcc1	->	Tbkbp1
Smarcc1	->	Ubxn11
Smarcc1	->	Unc119b
Smarcc1	->	Fam76b
Smarcc1	->	Prr11
Ubp1	->	Fam126b
Ubp1	->	Lcat
Ubp1	->	Lrrtm2
Ubp1	->	Ppp6r1
Ubp1	->	Tnip1
Ubp1	->	Ampd2
Ubp1	->	Arhgef4
Ubp1	->	Cdh1
Ubp1	->	Jarid2
Ubp1	->	Msl2
Ubp1	->	Ncoa5
Ubp1	->	Pacsin1
Ubp1	->	Sftpb
Ubp1	->	Ubp1
Ubp1	->	Actn4
Ubp1	->	Cant1
Klf11	->	4930502E18Rik
Klf11	->	Ergic3
Klf11	->	Foxred2
Klf11	->	Klf11
Klf11	->	1110020A21Rik
Klf11	->	2410002F23Rik
Klf11	->	Adnp2
Klf11	->	Cenpk
Klf11	->	Ddx20
Klf11	->	Eaf2
Klf11	->	Emilin1
Klf11	->	Hddc2
Klf11	->	Heca
Klf11	->	Il7
Klf11	->	Klf11
Klf11	->	Mcm2
Klf11	->	Myadm
Klf11	->	P2ry1
Klf11	->	Prkab2
Klf11	->	Stard5
Klf11	->	Tbc1d10a
Klf11	->	Tmem9
Klf11	->	Wdr19
Klf11	->	Zfp667
Klf11	->	1110034G24Rik
Klf11	->	Akt1s1
Klf11	->	Snip1
Trim28	->	1700020I14Rik
Trim28	->	Rapgef2
Trim28	->	Star
Trim28	->	Ankhd1
Trim28	->	Dlgap1
Trim28	->	Gm10416
